Party and Electorate Candidate Votes Recorded at each Voting Place
Taupō 51,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Tīrau,"Tīrau War Memorial Hall, 27 Main Road",38,1,1,8,0,108,0,135,8,12,1,0,0,0,0,8,0,320,4
Tirohanga,"Tirohanga School, 851 Tirohanga Road",17,0,0,0,0,13,0,43,0,0,0,0,0,0,0,2,0,75,0
Tokoroa,"David Henry School, 4-8 Thompson Street",11,5,1,7,0,119,2,27,1,8,2,3,1,0,0,0,1,188,5
,"St John Ambulance Hall, 62 Logan Street",42,9,3,9,0,274,5,95,10,31,0,3,0,1,0,4,2,488,5
,"St Luke's Pacific Island Presbyterian Church Hall, Corner Maraetai Road & Kelso Street",3,9,0,4,0,177,0,20,4,7,0,4,0,1,0,0,0,229,0
,"Strathmore School, 27 Strathmore Drive",18,2,1,6,0,143,0,33,0,2,0,0,0,0,0,0,0,205,3
,"Tainui Full Primary School, 63-69 Tainui Street",12,2,3,10,0,153,2,20,3,7,2,2,0,0,0,3,0,219,0
,"Tokoroa North School, 29 Paraonui Road",28,3,0,5,0,113,2,53,0,5,0,0,0,0,0,0,0,209,5
Turangi,"Te Kura o Hirangi, 29 Mawake Place",1,1,0,3,0,9,1,7,0,1,0,0,0,0,0,0,1,24,0
,"Tongariro Senior Citizens Hall, 83 The Town Centre",19,6,0,9,0,96,0,69,1,9,1,0,0,0,0,1,1,212,4
Upper Ātiamuri,"Upper Atiamuri School, 2613 State Highway 30",7,0,0,0,0,16,0,22,0,0,0,0,0,0,0,0,0,45,0
Wairakei Village,"Wairakei School, 2 Kauri Drive",29,2,3,3,0,74,2,58,3,10,0,2,0,0,0,2,0,188,0
Waitahanui,"Te Kura o Waitahanui, 107 State Highway 1",3,2,0,0,0,17,2,9,1,2,1,0,0,0,0,0,1,38,0
Waotu,"Te Waotu Full Primary School, 1274 Waotu Road",8,0,0,2,0,17,0,50,2,1,0,0,0,0,0,0,0,80,1
Whakamaru,"Whakamaru School, 36 Kaahu Road",7,0,0,2,0,43,0,45,3,3,1,2,0,0,0,0,0,106,0

,Overseas Special Votes Including Defence Force - Taupō,36,20,2,71,0,320,2,140,8,6,3,0,1,0,0,19,0,628,3
,Overseas Votes Allowed for Party Only - Taupō,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0
,Special Votes BEFORE Polling Day - Taupō,255,37,34,185,1,1686,18,914,45,103,11,12,0,2,1,54,4,3362,24
,Special Votes ON Polling Day - Taupō,196,32,24,82,0,1127,23,660,45,64,12,21,0,3,0,39,4,2332,17
,Votes Allowed for Party Only - Taupō,11,13,8,17,0,188,10,58,1,6,2,4,0,0,0,0,0,318,6
,Voting places where less than 6 votes were taken,3,0,0,0,0,13,0,8,0,0,0,0,0,0,0,2,0,26,0

,Taupō Total,4340,476,165,1677,3,19978,164,14452,681,1227,123,184,14,23,9,592,23,44131,275

,Valid Party Votes plus Informal Party Votes,,44406

Electorate Party Valid Votes,,,Labour Party - 45.27%
ACT New Zealand,4340,9.83
Advance NZ,476,1.08
Aotearoa Legalise Cannabis Party,165,0.37
Green Party,1677,3.80
HeartlandNZ,3,0.01
Labour Party,19978,45.27
Māori Party,164,0.37
National Party,14452,32.75
New Conservative,681,1.54
New Zealand First Party,1227,2.78
NZ Outdoors Party,123,0.28
ONE Party,184,0.42
Social Credit,14,0.03
Sustainable New Zealand Party,23,0.05
TEA Party,9,0.02
The Opportunities Party (TOP),592,1.34
Vision New Zealand,23,0.05
