Party and Electorate Candidate Votes Recorded at each Voting Place
Mt Roskill 25,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Mt Eden,"Auckland Normal Intermediate, 24 Poronui Street",0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,12,0
,"Auckland Provincial Guide Centre, 132 Grange Road",1,0,0,4,0,6,0,3,0,0,0,0,0,0,0,1,0,15,0
,"Food Stuffs Building (formerly Auckland Deaf Society), 164 Balmoral Road",3,0,0,14,0,39,0,16,2,1,0,1,0,1,0,2,0,79,0
,"Good Shepherd Parish Hall, 30 Telford Avenue",4,0,0,16,0,32,0,24,0,1,0,0,0,0,0,0,0,77,2
,"Greyfriars Presbyterian Church - Memorial Hall, 544 Mt Eden Road",4,0,0,6,0,9,0,14,0,1,0,0,0,0,0,0,0,34,0
,"Maungawhau School, 43 Ellerton Road",55,2,0,53,0,188,2,173,1,14,0,0,0,0,0,14,0,502,3
,"Mt Eden Normal Primary School, 73 Valley Road",2,0,0,0,0,5,0,6,0,0,0,0,0,0,0,1,0,14,0
,"Valley Road International Church Hall, 393 Mt Eden Road",3,0,0,1,0,11,0,2,0,0,0,0,0,0,0,0,0,17,0
Mt Roskill,"Central Auckland Specialist School (formerly Sunnydene), 48 Smallfield Avenue",4,0,0,9,0,52,0,13,0,6,0,0,0,0,0,4,0,88,0
,"Christ The King School Hall, 288 Richardson Road",18,0,0,15,0,243,4,90,10,14,0,0,0,1,1,7,0,403,2
,"Dominion Road School, 14 Quest Terrace",12,0,1,25,0,132,2,65,4,5,0,0,0,0,1,6,0,253,2
,"Hay Park School, 670 Richardson Road",10,4,0,15,0,205,1,87,5,4,1,2,2,0,2,4,0,342,0
,"May Road School, 504 Richardson Road",14,3,0,19,0,219,0,80,9,12,0,2,0,0,5,0,0,363,4
,"Mt Roskill Grammar School, Butler Hall, 37 Frost Road",7,1,0,9,0,118,0,57,1,4,0,0,0,0,1,2,0,200,0
