Party and Electorate Candidate Votes Recorded at each Voting Place
Takanini 48,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Papakura,"Accent Point Building, Level 3, Library Foyer, 28 East Street",16,1,0,6,0,126,1,78,5,6,0,0,0,0,0,1,1,241,5
,"Papakura Normal School Hall, 49 Walters Road (Walters Road entrance)",11,1,0,4,0,101,1,73,13,2,0,0,0,0,0,0,1,207,2
,"South Auckland Car Club, Wellington Park, 1 Great South Road",12,1,0,1,0,84,2,82,1,3,0,1,0,0,1,1,2,191,1
Papatoetoe,"Hunters Plaza Shopping Centre, Pop Up Shop, 217 Great South Road",0,0,0,0,0,15,0,7,0,1,0,0,0,0,0,0,0,23,0
Takanini,"Conifer Grove School Hall, 70 Walter Strevens Drive",52,1,0,17,1,316,2,275,6,31,2,0,0,0,0,5,0,708,5
,"Takanini School Hall, Old Park Place entrance",18,2,1,20,0,247,3,129,10,4,0,0,0,0,0,6,5,445,3
The Gardens,"The Gardens School Hall, 101 Charles Prevost Drive",50,3,0,20,0,239,5,246,11,18,0,2,0,0,1,5,0,600,5
Wattle Downs,"Clayton Park School Hall, Wattle Farm Road entrance",33,5,3,22,0,306,5,167,18,21,1,2,0,0,0,5,2,590,2
,"Reremoana School Hall, 15 Scotsmoor Drive",43,1,1,11,0,218,0,201,6,13,1,0,0,0,5,3,2,505,0
Wiri,"Vodafone Events Centre, 770 Great South Road",1,0,1,2,0,17,0,5,0,0,0,2,0,0,0,0,0,28,0

,Overseas Special Votes Including Defence Force - Takanini,22,5,0,52,0,296,1,92,13,4,0,1,0,1,2,6,2,497,0
,Overseas Votes Allowed for Party Only - Takanini,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,1,7,0
