Party and Electorate Candidate Votes Recorded at each Voting Place
Rongotai 43,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Aro Valley,"Aro Valley Community Centre, 48 Aro Street",0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,2,0,14,0
Berhampore,"Berhampore School, Room One, 105 Britomart Street",13,0,0,108,0,114,4,21,3,3,0,0,0,0,0,14,0,280,0
,"South Wellington Intermediate School Hall, 165 Rintoul Street",7,2,0,52,0,77,1,17,1,3,1,0,0,0,1,5,0,167,0
Breaker Bay,"Breaker Bay Hall, 150 Breaker Bay Road",6,1,1,24,0,48,2,17,1,2,0,0,0,0,0,0,0,102,0
Brooklyn,"Brooklyn Community Centre, 18 Harrison Street",2,0,0,16,0,21,0,4,0,2,0,0,0,0,0,1,0,46,0
,"St Matthew's Church Hall, 96 Washington Avenue",2,0,0,16,0,36,1,6,1,3,0,0,0,0,0,3,0,68,2
Chatham Islands,"Chatham Islands Council Building, 9 Tuku Road, Waitangi",2,0,0,7,0,20,0,11,0,4,0,0,1,0,0,2,0,47,1
Hataitai,"Hataitai Community House, 112 Waipapa Road",7,1,0,47,0,98,1,30,3,5,0,0,0,0,0,7,0,199,1
,"Hataitai School Hall, 2 Arawa Road",39,2,0,89,0,236,2,85,1,10,1,0,0,0,0,9,1,475,2
,"Kilbirnie School Hall, 72 Hamilton Road",14,3,0,58,0,149,3,48,0,2,0,0,0,0,0,9,0,286,1
Houghton Bay,"Houghton Valley School Hall, 110 Houghton Bay Road",5,0,0,54,0,109,3,15,1,5,0,0,0,1,0,7,0,200,1
Island Bay,"Island Bay Presbyterian Church Lounges, 88 The Parade",26,5,2,74,0,248,1,80,3,14,0,2,0,1,0,18,1,475,2
,"Island Bay School Hall, 6 Thames Street",16,0,0,66,0,154,2,35,4,2,0,0,1,0,0,6,0,286,1
,"St Hilda's Church Parish Centre, 311 The Parade",22,4,0,109,0,280,4,78,9,15,0,1,0,0,0,7,0,529,3
Kelburn,"Victoria University, Student Union Building Memorial Theatre Foyer, 1 Kelburn Parade",1,0,0,6,0,4,0,0,1,0,0,0,0,0,1,1,0,14,0
Kilbirnie,"ASB Sports Centre, 72 Kemp Street",10,1,0,22,0,85,5,26,0,4,0,1,0,0,0,0,0,154,1
,"Evans Bay Intermediate School Hall, 14 Kemp Street",2,1,0,13,0,31,1,14,1,3,0,1,0,0,0,2,0,69,0
,"Evans Bay Yacht Club, 447 Evans Bay Parade",5,0,0,28,0,33,0,24,0,1,0,0,0,0,0,4,0,95,0
