Party and Electorate Candidate Votes Recorded at each Voting Place
Auckland Central 1,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Point Chevalier,"Church@onetwosix Hall, 126 Point Chevalier Road",0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,8,0
Ponsonby,"All Saints Anglican Church, 284 Ponsonby Road",63,3,1,102,0,289,5,211,0,15,0,0,0,2,0,10,1,702,2
,"Ponsonby Primary School, 44 Curran Street",44,0,0,18,0,68,0,102,0,1,0,0,0,0,0,4,0,237,0
,"St Mary's College, 11 New Street",27,0,1,20,0,96,1,106,1,7,0,1,0,2,0,5,0,267,1
Waiheke Island,"Ōmiha Memorial Hall, 2 Glen Brook Road",7,3,0,15,0,66,1,26,0,5,0,0,0,0,0,0,0,123,0
,"Onetangi Residents Association Hall, Corner Waiheke Road & Third Avenue",22,1,0,36,0,103,1,45,4,12,1,0,0,0,0,3,0,228,1
,"Ostend Memorial Hall, 76 Ostend Road",12,10,3,35,0,134,0,42,1,11,0,0,0,0,0,3,0,251,1
,"Palm Beach Hall, 74 Palm Road",7,0,0,26,0,66,0,29,0,6,1,0,0,0,0,1,0,136,2
,"Surfdale Community Hall, 6 Hamilton Road",6,2,0,20,0,49,0,10,1,2,0,0,0,1,0,1,0,92,0
,"Waiheke High School, 11 Donald Bruce Road",6,2,1,16,0,42,0,21,0,4,0,2,0,0,0,3,0,97,0
,"Waiheke Library, 131 Ocean View Road",16,3,1,38,0,132,1,60,0,14,0,0,0,1,0,3,1,270,1
,"Waiheke Resources Trust, Mako Street",6,0,0,12,0,31,0,13,0,1,0,0,0,0,0,3,0,66,0
Westmere,"Hawke Sea Scouts Hall, 55 West End Road",7,0,0,14,0,18,0,15,0,1,0,0,0,0,0,1,0,56,0
,"Westmere School, 81 Garnet Road",2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0

,Overseas Special Votes Including Defence Force - Auckland Central,122,15,1,597,0,1110,5,288,8,16,1,0,0,4,0,60,0,2227,5
,Overseas Votes Allowed for Party Only - Auckland Central,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,7,0
,Special Votes BEFORE Polling Day - Auckland Central,315,29,21,882,0,2234,24,917,33,86,1,4,1,8,6,119,1,4681,27
,Special Votes ON Polling Day - Auckland Central,187,12,23,361,0,1168,14,613,21,56,1,3,1,3,4,63,4,2534,16
,Votes Allowed for Party Only - Auckland Central,13,5,11,52,0,208,13,83,5,5,2,0,0,0,2,6,0,405,6
,Voting places where less than 6 votes were taken,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,6,0

,Auckland Central Total,2724,198,99,6937,1,16751,111,7680,197,622,15,20,7,59,35,776,11,36243,160

,Valid Party Votes plus Informal Party Votes,,36403

Electorate Party Valid Votes,,,Labour Party - 46.22%
ACT New Zealand,2724,7.52
Advance NZ,198,0.55
Aotearoa Legalise Cannabis Party,99,0.27
Green Party,6937,19.14
HeartlandNZ,1,0.00
Labour Party,16751,46.22
Māori Party,111,0.31
National Party,7680,21.19
New Conservative,197,0.54
New Zealand First Party,622,1.72
NZ Outdoors Party,15,0.04
ONE Party,20,0.06
Social Credit,7,0.02
Sustainable New Zealand Party,59,0.16
TEA Party,35,0.10
The Opportunities Party (TOP),776,2.14
Vision New Zealand,11,0.03
