Party and Electorate Candidate Votes Recorded at each Voting Place
Kaikōura 17,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Fairhall,"Fairhall School Library, 384 New Renwick Road",47,1,0,8,0,87,0,131,2,2,1,0,0,0,0,2,0,281,0
Greta Valley,"Greta Valley School, 8 Motunau Beach Road",29,0,0,7,0,39,0,86,7,2,0,0,0,0,0,2,0,172,1
Grovetown,"Grovetown School, 50-62 Vickerman Street",14,2,0,6,0,71,0,68,2,2,0,0,0,0,0,3,0,168,1
Hanmer Springs,"Hanmer Springs School Korimako Room, 8 Cheltenham Street",52,0,2,20,0,158,0,148,6,4,2,1,0,2,0,5,0,400,4
Hapuku,"Hapuku School Library, 596 Kincaid Road (State Highway 1)",7,2,0,1,0,14,0,33,4,1,1,1,0,0,0,0,0,64,0
Havelock,"Havelock School Hall, 47 Main Road",46,10,0,29,0,104,1,83,7,9,0,3,0,1,0,0,0,293,1
Hawarden,"Hurunui College Library, 2 Tenterden Street",37,1,1,14,0,48,0,94,3,13,0,0,0,0,0,1,0,212,3
Kaikōura,"Kaikōura High School Library, Corner Rorrisons Road & Ludstone Road",7,1,0,2,0,22,3,12,0,1,1,0,0,0,0,0,0,49,0
,"Kaikōura Suburban School Library, 425 Schoolhouse Road",13,1,0,6,0,24,0,33,2,3,0,2,0,0,0,1,0,85,0
,"Little Oaks By The Sea Preschool, 1 South Bay Parade",5,0,0,1,0,23,0,9,1,1,0,0,0,0,0,0,0,40,0
,"St John Kaikōura Ambulance Station, 116 Beach Road",26,4,1,5,0,96,0,83,1,6,0,1,0,0,0,3,0,226,3
,"Takahanga Bowling Club, Killarney Street",5,1,0,3,0,19,0,35,0,1,0,1,0,0,0,1,0,66,0
Leithfield,"Leithfield School Hall, 64 Old Main North Road",25,1,0,14,0,126,0,84,5,8,0,0,0,0,0,2,0,265,1
Linkwater,"Linkwater School, 1357 Queen Charlotte Drive",23,0,1,19,0,74,0,86,7,11,0,2,0,0,1,6,0,230,1
Loburn,"Loburn School, 73 Hodgsons Road",69,7,2,20,0,134,0,163,27,14,3,1,0,0,1,7,0,448,5
Medbury,"Medbury Hall, 447 Medbury Road",6,0,0,5,0,20,0,41,0,1,0,0,0,1,0,2,0,76,0
North Loburn,"North Loburn School, 817 Loburn Whiterock Road",51,0,0,11,0,70,0,95,13,4,0,0,1,2,0,0,0,247,0
Okaramio,"Okaramio Community Hall, 2356 State Highway 6",17,1,1,3,0,29,0,40,2,5,0,0,0,0,0,3,0,101,2
Omihi,"Omihi School, 990 Omihi Road",14,0,0,4,0,4,0,44,0,1,0,0,0,0,0,1,0,68,1
Oxford,"Oxford Jaycee's Hall, 56 Main Street",1,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,9,0
Picton,"Mariners Mall - Shop 17, 100 High Street",18,1,1,8,0,88,0,58,6,10,2,2,0,0,0,0,0,194,0
,"Picton School Hall, 31 York Street (between Buller Street & Broadway)",8,4,1,13,0,79,0,36,3,12,1,0,0,0,0,3,0,160,0
,"Queen Charlotte College Hall, 173 Waikawa Road",18,1,0,7,0,82,0,52,7,10,2,0,0,0,0,1,0,180,2
,"Waikawa Bay School, 282 Waikawa Road",20,0,0,8,0,52,0,48,1,7,0,0,0,0,0,1,0,137,2
Rai Valley,"Rai Valley Area School Library, 6700 Main Road",41,3,0,9,0,55,0,49,9,4,0,1,0,0,0,0,0,171,0
Rangiora,"East High Street Business Park (near The Warehouse), 13 High Street",6,1,0,3,0,18,0,9,1,0,0,0,0,0,0,0,0,38,1
,"Rangiora Borough School, 157 King Street",3,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,8,0
,"Rangiora High School, 125 East Belt (Wales Street entrance)",7,0,0,0,0,12,0,5,1,1,0,0,0,0,0,0,0,26,0
Rapaura,"Rapaura Hall (opposite Rapaura School), 349 Hammerichs Road",26,1,0,3,0,47,0,71,3,7,0,2,0,0,0,2,0,162,1
Rarangi,"Rarangi Community Centre, 252 Rarangi Beach Road",16,2,0,14,0,71,0,33,1,8,0,0,0,0,0,1,0,146,1
Renwick,"Renwick Anglican Community Church Hall, 54 High Street",127,1,4,30,2,322,2,249,11,24,2,2,0,0,0,11,1,788,1
Riverlands,"Riverlands Hall, Corner Alabama & School Roads",22,3,0,5,0,59,0,45,1,3,1,1,0,0,0,2,0,142,0
Riversdale,"NMIT Marlborough Campus, Main Entrance, 85 Budge Street",11,0,0,7,0,126,0,41,2,9,1,0,0,0,0,9,1,207,1
Rotherham,"Rotherham School Library, 71 George Street",18,1,0,4,0,37,0,89,1,0,0,0,0,0,0,1,0,151,1
Seddon,"Seddon School Staff Room, 15 Redwood Street",47,2,1,6,0,101,0,130,5,6,1,2,0,0,0,0,0,301,4
Sefton,"Sefton School, 603 Upper Sefton Road",25,6,0,11,0,104,2,99,12,15,1,0,2,0,0,2,0,279,1
Spotswood,"Spotswood Hall, 6 Waiau East Road (State Highway 1)",8,2,0,2,0,13,0,50,2,3,0,0,0,0,0,2,0,82,1
Spring Creek,"Spring Creek School Studio (next to library), 52 Ferry Road",20,1,0,9,0,90,1,63,1,7,2,1,0,0,0,2,0,197,0
Tua Marina,"Tua Marina School Hall, Campbells Road",23,1,0,8,0,83,0,59,3,9,1,2,0,0,0,4,0,193,1
Waiau,"Waiau School, 11 Montrose Street",29,3,1,8,0,61,0,115,1,5,0,0,0,0,0,5,0,228,0
Waihopai,"Waihopai Valley Community Hall, 1605 Waihopai Valley Road",29,2,0,2,0,25,0,40,1,3,2,0,0,0,0,1,0,105,1
Waikari,"Waikari School, 23 Princes Street",27,0,1,8,0,59,0,100,5,8,1,0,3,0,0,1,0,213,1
Waipara,"Waipara School Tarata Room, 2 Loffhagen Drive",30,7,1,6,0,56,0,64,14,2,0,0,2,0,0,4,0,186,1
Wairau Valley,"Wairau Valley School Library, 30 Morse Street",48,2,1,9,0,67,0,81,2,4,0,5,0,2,0,1,0,222,1
Ward,"Ward School Library, 63 Duncan Street",17,0,1,0,0,40,0,62,0,1,0,0,0,0,0,0,0,121,0
Woodbourne,"RNZAF Community Centre, Caldwell Road",12,0,0,5,0,35,0,18,2,4,0,0,0,0,0,6,0,82,0
Woodend,"Woodend Community Centre, 6A School Road",2,0,0,0,0,6,0,11,2,0,0,0,0,0,0,0,0,21,0

,Overseas Special Votes Including Defence Force - Kaikōura,31,10,3,89,1,273,3,134,7,5,0,1,0,0,0,21,0,578,1
,Overseas Votes Allowed for Party Only - Kaikōura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Special Votes BEFORE Polling Day - Kaikōura,271,36,17,208,0,1312,3,672,53,69,7,13,2,3,0,42,0,2708,11
,Special Votes ON Polling Day - Kaikōura,238,43,22,114,1,905,13,605,31,71,7,9,1,1,0,32,1,2094,18
,Votes Allowed for Party Only - Kaikōura,16,10,5,11,0,123,1,56,5,7,2,3,0,0,0,2,0,241,4
,Voting places where less than 6 votes were taken,3,2,0,1,0,4,0,4,0,1,0,0,0,0,0,0,0,15,0

