Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tokerau 70,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
East Coast Bays
Onerahi,"Onerahi Bowling Club, 35 Alamein Avenue",1,0,6,9,0,80,4,0,1,9,0,3,0,0,0,1,1,115,1
Otangarei,"Otangarei Rugby Club, 10 Matai Street",0,2,4,1,0,54,9,0,0,7,0,0,0,0,0,0,1,78,0
Parua Bay,"Mt Manaia Bowling Club, 1341 Whangarei Heads Road",1,3,0,8,0,21,3,3,0,3,0,2,0,0,0,1,0,45,0
Raumanga,"Manaia View School Hall Te Moemoea, 64 Murdoch Crescent",0,0,0,2,0,21,0,1,0,1,0,0,0,0,0,0,0,25,4
,"Northland Polytechnic, Gate 3 - Training Dining Room C100, 49-53 Raumanga Valley Road",0,0,0,1,0,5,1,0,0,0,0,1,0,0,0,0,0,8,0
,"Northtec, Future Trades Building, Classroom, 19 Dyer Street",0,0,1,0,0,12,0,0,0,1,0,0,0,0,0,1,0,15,0
,"Raumanga Te Ora Hou (The Pulse), 89 Raumanga Valley Road",0,4,5,14,0,97,23,2,0,14,0,1,0,0,0,1,3,164,3
Regent,"Anglican Parish Hall, 2A Kamo Road",1,5,2,11,0,75,7,3,0,14,0,4,0,0,0,1,0,123,3
Ruakākā,"Bream Bay College Hall, 2 Peter Snell Road",0,2,0,2,0,24,5,3,0,9,0,0,0,0,0,0,0,45,0
,"Bream Bay Community Trust Hall, 9 Takutai Place",0,8,2,7,1,105,17,2,0,17,0,1,0,0,0,1,0,161,0
,"One Tree Point School Hall, 97 One Tree Point Road",0,0,0,0,0,12,0,1,0,2,0,0,0,0,0,0,0,15,0
Tikipunga,"Tikipunga Shopping Centre, Shop by roundabout, 165 Kiripaka Road",2,13,8,25,0,350,48,10,4,40,0,5,0,0,0,2,9,516,5
Waipu,"Waipu Coronation Hall, 47 The Centre",0,4,0,9,0,49,3,7,1,7,0,1,0,0,0,2,0,83,0
Whangārei,"Auckland University, Tai Tokerau Campus Room M-101, 13 Alexander Street",0,0,0,2,0,5,3,0,0,1,0,0,0,0,0,0,0,11,0
,"Forum North Exhibition Hall, 5 Rust Avenue",5,15,12,46,0,375,46,7,1,53,1,5,0,0,0,5,8,579,8
,"The Strand Arcade, 41 Cameron Street",7,12,9,48,0,251,38,3,2,27,0,4,0,0,0,4,4,409,7
,Rest Homes Team - Taken in Whangārei,1,0,0,0,0,12,2,1,0,1,0,0,0,0,0,0,0,17,1

Voting Places
Auckland Central
