Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Hauāuru 69,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Mana
,"St Paul's Anglican Church, 1 Langdale Avenue",3,1,0,16,0,52,8,2,0,3,0,4,0,0,0,3,0,92,0
,"Waikanae Marae, 2 Marae Lane",2,2,1,11,0,57,20,2,1,1,1,0,0,0,0,2,1,101,3
,"Waikanae Presbyterian Church, 43 Ngaio Road",0,1,1,5,0,15,2,0,0,2,0,0,0,0,0,0,0,26,0
,"Waikanae Primary School Hall, 27 Seddon Street",1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0
Palmerston North
Highbury,"St Michael's Church Hall, 52 Pembroke Street",2,8,5,17,0,191,43,4,0,10,0,2,0,0,0,0,1,283,6
Hokowhitu,"College Street Normal School Hall, 402 College Street",0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,14,1
,"Hokowhitu School Hall, 227 Albert Street",0,0,0,4,0,6,3,0,0,1,0,0,0,0,0,0,0,14,0
,"Winchester School Hall, 552 Ruahine Street",0,0,0,0,0,12,3,1,0,1,1,0,0,0,0,0,0,18,0
Kelvin Grove,"Cornerstone Christian School, Administration Building, 119 Mihaere Drive",0,0,0,6,0,21,3,2,0,0,0,3,0,0,0,0,1,36,0
Milson,"Milson School Hall, 7 Rutland Place",1,2,0,4,0,18,4,2,0,1,0,0,0,0,0,0,0,32,0
,"St Peter's College, 3 Holdsworth Avenue",2,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,1,23,0
Palmerston North,"AMP Building, 36 Broadway Avenue",4,1,2,23,0,118,22,8,0,6,0,1,0,0,0,2,3,190,2
,"Awapuni School Hall, 18 Rochester Street",0,0,0,4,0,17,1,0,0,1,0,0,0,0,0,0,0,23,0
,"Central Normal School Hall, 201 Featherston Street",0,1,1,2,0,29,4,1,0,2,1,0,0,0,0,0,0,41,1
,"Cloverlea School Hall, 55 Herbert Avenue",1,1,0,1,0,13,1,2,0,0,0,1,0,0,0,0,0,20,0
,"Hearing Association Manawatu, 435 Church Street",0,0,0,6,0,60,10,2,0,1,0,0,0,0,0,1,0,80,1
,"Palmerston North Bridge Club, 3 Cook Street",1,0,0,8,0,81,9,5,0,1,0,0,0,0,0,2,2,109,4
,"Palmerston North Girls' High School, Huia Centre, 3 Huia Street",2,0,0,0,0,4,0,2,1,1,0,0,0,0,0,2,1,13,0
,"Russell Street School Hall, 19-31 Russell Street",2,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,23,0
,"Somerset Crescent School Hall, 45 Somerset Crescent",0,0,0,1,0,12,1,0,0,4,0,0,0,0,0,0,0,18,1
,"St Luke's Lutheran Church Hall, 250 Church Street",0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,6,0
,"Te Manawa Museum, 326 Main Street",9,9,3,52,0,231,60,12,1,11,0,3,0,0,0,10,0,401,2
Parkland,"Parkland School Hall, 41 Parkland Crescent",0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,11,0
Riverdale,"Riverdale School Hall, 95 Slacks Road",0,0,0,1,0,15,1,0,1,0,0,0,0,0,0,0,0,18,0
Roslyn,"Roslyn School Hall, 38 Kipling Street",0,2,0,0,0,24,7,0,0,1,0,0,0,0,0,1,0,35,0
Takaro,"Monrad Intermediate School Hall, 228 Botanical Road",1,2,0,3,0,20,2,0,1,0,0,0,0,0,0,0,0,29,2
Terrace End,"Terrace End School Hall, 183-209 Ruahine Street",2,1,0,1,0,14,5,1,0,1,0,0,0,0,0,0,0,25,1
West End,"West End School Hall, 395-427 Botanical Road",0,0,0,3,0,5,1,0,0,1,0,0,0,0,0,0,0,10,1
Rangitīkei
Ashhurst,"River Church, 131 Cambridge Avenue",2,0,0,9,0,49,10,4,1,2,0,0,0,0,0,1,0,78,1
,"Village Valley Community Centre, Corner Winchester & Guildford Streets",0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,9,0
Bulls,"Clifton School, 3 Clifton Street",0,3,1,4,0,22,1,0,0,1,0,1,0,0,0,2,0,35,1
