Party and Electorate Candidate Votes Recorded at each Voting Place
Ikaroa-Rāwhiti 67,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
East Coast
,"Taradale Senior Citizens Friendship Centre, 10 White Lane (Symons Lane entrance)",0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,6,0
,"Taradale Shopping Centre, 264 Gloucester St",0,1,0,2,0,16,6,1,0,1,0,0,0,0,0,1,2,30,2
Te Awa,"Te Awa School, 1a Te Awa Avenue",0,0,1,1,0,11,2,0,0,2,0,0,0,0,0,0,0,17,0
Te Pōhue,"Te Pohue School, 44 Richmond Road",0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,6,0
Tutira,"Tutira School, 29 Matahorua Road",0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,7,0
Wairoa,"Taihoa Marae, 174 State Highway 2 North",0,5,1,1,0,36,11,0,0,5,0,0,0,0,0,0,0,59,0
,"Wairoa College, 20 Lucknow Street",0,4,3,0,0,31,6,0,0,2,1,2,0,0,0,0,0,49,0
,"Wairoa Community Centre, 33 Marine Parade",1,3,0,3,0,36,8,0,0,0,1,1,0,0,0,0,0,53,0
,"Wairoa Memorial Hall, 93 Queen Street",0,3,1,4,0,75,8,1,0,4,1,0,0,0,0,0,0,97,0
Westshore,"Westshore School, Alfred Street",0,1,0,2,0,11,4,2,0,2,0,0,0,0,0,0,0,22,0
Remutaka
Avalon,"Avalon School Hall, 10 Gordon Street",1,2,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,10,0
,"Naenae College Hall, 910 High Street",0,0,0,1,0,7,1,1,0,0,0,0,0,0,0,0,2,12,0
Brown Owl,"Chanel Family Centre, 1285 Fergusson Drive",1,0,0,2,0,14,0,0,0,1,0,0,0,1,0,0,0,19,0
Ebdentown,"Oxford Crescent School Hall, 5 Oxford Crescent",0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0
Heretaunga,"St Brendan's School Hall, 56 Palmer Crescent",0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,1,0,9,0
Maoribank,"Maoribank School Hall, 32 Hillside Drive",0,0,0,1,0,28,3,1,0,2,0,0,0,0,0,1,0,36,1
Naenae,"Naenae Bowling Club, 23 Treadwell Street",1,0,1,2,0,41,11,0,3,5,0,3,0,0,0,0,0,67,0
,"Naenae Primary School Hall, 18 Wheatley Street",0,1,0,0,0,40,3,1,1,4,0,0,0,0,0,0,0,50,1
,"Rata Street School Hall, 73 Rata Street",1,0,4,4,0,36,7,1,1,2,0,0,0,0,0,1,1,58,1
Parkdale,"Birchville School Hall, 16 Gemstone Drive",0,0,0,1,0,5,1,1,1,2,0,1,0,0,0,0,0,12,0
Pinehaven,"Pinehaven Community Hall, 5a Forest Road",0,0,0,1,0,4,1,0,1,2,0,0,0,0,0,0,0,9,0
Pomare,"Pomare School Hall, 4 Partridge Street",0,1,1,1,0,14,2,1,0,1,0,2,0,0,0,0,0,23,0
Riverstone,"Garage of private home, 63 Kirton Drive",0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,6,0
,"Silverstream School Hall, 27 Whitemans Road",1,1,1,0,0,15,3,1,0,0,0,0,0,0,0,0,0,22,0
,"Zap Hall, 246-248 Fergusson Drive",1,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,11,0
Stokes Valley,"Tawhai School Hall, 69 Glen Road",2,1,0,1,0,15,3,1,0,0,0,0,0,0,0,0,0,23,0
,"Tui Glen School Hall, 126 Stokes Valley Road",0,5,1,4,0,41,11,1,0,5,0,0,0,0,0,2,0,70,1
,"Uniting Parish Church, 346 Stokes Valley Road",0,1,0,3,0,21,6,0,0,0,0,1,0,0,0,0,0,32,0
Taitā,"Avalon Intermediate School Hall, 1041 High Street",0,0,2,1,0,13,2,0,1,3,1,0,0,0,0,0,0,23,0
,"Walter Nash Centre, 26 Taine Street",0,2,0,1,0,25,3,0,0,0,0,1,0,0,0,2,1,35,1
Te Marua,"Plateau School, 12a Molloys Road",0,0,1,0,0,13,2,0,0,2,0,0,0,0,0,0,0,18,0
Totara Park,"Totara Park School Hall, 16 California Drive",1,0,0,2,0,17,3,1,2,1,0,1,0,0,0,0,0,28,0
Trentham,"Trentham Race Course (Committee Room, 1st Floor Members Stand), Racecourse Road",0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,6,0
,"Trentham School Staff Room, 2 Moonshine Road",1,0,0,3,0,23,1,0,1,1,0,0,0,0,0,0,0,30,0
Upper Hutt,"Fraser Crescent School Hall, 16 Redwood Street",0,0,0,2,0,18,4,0,0,2,0,0,0,0,0,0,0,26,0
,"St Hilda's Church Hall, 35 Cruickshank Road",0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,7,0
,"St Joseph's Scout Hall, 45 Royal Street",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0
,"The Mall, former t&t shop, Ground Floor, 185 Main Street",0,1,0,1,0,26,3,1,1,1,0,0,0,0,0,0,0,34,0
,"Wesley Centre (St David's Hall), 2 Benzie Avenue",0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,13,0
Wallaceville,"Baptist Church Hall, 3 Milton Street",1,0,0,2,0,10,5,0,0,2,0,1,0,0,0,0,0,21,0
,"Heretaunga College Hall, 10-38 Ward Street",0,0,1,0,0,12,1,1,0,0,0,1,0,0,0,0,0,16,1
Tukituki
Akina,"Hastings Central School, 400 Karamu Road South (corner Southampton Street)",1,3,1,2,0,32,7,1,1,3,0,0,0,0,0,0,0,51,0
,"Hastings Christian School, 1009 Copeland Road",0,2,0,2,0,30,4,3,0,1,0,0,0,0,0,1,1,44,1
,"St Joseph's School, 404 Eastbourne Street East",0,1,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,11,0
Bridge Pa,"Bridge Pa School, 1642 Maraekakaho Road",0,1,2,6,0,46,16,0,0,3,0,0,0,0,0,3,0,77,0
Camberley,"Camberley Community Centre, 703 Kiwi Street",1,3,2,3,0,46,8,0,0,2,0,0,0,0,0,0,2,67,3
Clive,"Clive Community Hall, 162 Main Road",1,0,0,2,0,33,9,4,1,3,0,0,0,0,0,0,1,54,1
Flaxmere,"Cook Island Community Centre, 7 Swansea Road",0,0,2,4,0,40,12,3,0,2,0,0,0,0,0,0,0,63,1
,"Flaxmere Christian Fellowship Church, 220 Flaxmere Avenue",0,3,3,4,0,45,14,4,2,2,0,0,0,0,0,0,1,78,2
,"Flaxmere Community Centre, 30 Swansea Road",1,4,1,4,0,112,34,2,0,2,0,1,0,0,0,0,4,165,5
,"Flaxmere Primary School Hall, 12 Whitby Crescent",1,3,0,5,0,57,12,1,0,1,1,0,0,0,0,0,0,81,0
,"Irongate School, 16 Walton Way",0,0,1,3,0,36,5,0,0,2,0,0,0,0,0,0,0,47,1
Frimley,"Frimley School, 202 Frimley Road",0,2,3,3,0,33,6,2,1,2,0,0,0,0,0,0,1,53,0
